code,cell,treat,time,dose,rep
BV120_1,blood,vehicle,120,7th,1
BV120_2,blood,vehicle,120,7th,2
BV120_3,blood,vehicle,120,7th,3
BV120_4,blood,vehicle,120,7th,4
BV120_5,blood,vehicle,120,7th,5
BS1_1,blood,stc15,1,7th,1
BS1_2,blood,stc15,1,7th,2
BS1_3,blood,stc15,1,7th,3
BS1_4,blood,stc15,1,7th,4
BS1_5,blood,stc15,1,7th,5
BS4_1,blood,stc15,4,7th,1
BS4_2,blood,stc15,4,7th,2
BS4_3,blood,stc15,4,7th,3
BS4_4,blood,stc15,4,7th,4
BS4_5,blood,stc15,4,7th,5
BS12_1,blood,stc15,12,7th,1
BS12_2,blood,stc15,12,7th,2
BS12_3,blood,stc15,12,7th,3
BS12_4,blood,stc15,12,7th,4
BS12_5,blood,stc15,12,7th,5
BS24_1,blood,stc15,24,6th,1
BS24_2,blood,stc15,24,6th,2
BS24_3,blood,stc15,24,6th,3
BS24_4,blood,stc15,24,6th,4
BS24_5,blood,stc15,24,6th,5
BS48_1,blood,stc15,48,7th,1
BS48_2,blood,stc15,48,7th,2
BS48_3,blood,stc15,48,7th,3
BS48_5,blood,stc15,48,7th,5
BS120_1,blood,stc15,120,7th,1
BS120_2,blood,stc15,120,7th,2
BS120_3,blood,stc15,120,7th,3
BS120_4,blood,stc15,120,7th,4
BS120_5,blood,stc15,120,7th,5
TV120_1,tumour,vehicle,120,7th,1
TV120_2,tumour,vehicle,120,7th,2
TV120_3,tumour,vehicle,120,7th,3
TV120_4,tumour,vehicle,120,7th,4
TV120_5,tumour,vehicle,120,7th,5
TS1_1,tumour,stc15,1,7th,1
TS1_2,tumour,stc15,1,7th,2
TS1_3,tumour,stc15,1,7th,3
TS1_4,tumour,stc15,1,7th,4
TS1_5,tumour,stc15,1,7th,5
TS4_1,tumour,stc15,4,7th,1
TS4_2,tumour,stc15,4,7th,2
TS4_3,tumour,stc15,4,7th,3
TS4_4,tumour,stc15,4,7th,4
TS4_5,tumour,stc15,4,7th,5
TS12_1,tumour,stc15,12,7th,1
TS12_2,tumour,stc15,12,7th,2
TS12_3,tumour,stc15,12,7th,3
TS12_4,tumour,stc15,12,7th,4
TS12_5,tumour,stc15,12,7th,5
TS24_1,tumour,stc15,24,6th,1
TS24_2,tumour,stc15,24,6th,2
TS24_3,tumour,stc15,24,6th,3
TS24_4,tumour,stc15,24,6th,4
TS24_5,tumour,stc15,24,6th,5
TS48_1,tumour,stc15,48,7th,1
TS48_2,tumour,stc15,48,7th,2
TS48_3,tumour,stc15,48,7th,3
TS48_4,tumour,stc15,48,7th,4
TS48_5,tumour,stc15,48,7th,5
TS120_1,tumour,stc15,120,7th,1
TS120_2,tumour,stc15,120,7th,2
TS120_3,tumour,stc15,120,7th,3
TS120_4,tumour,stc15,120,7th,4
TS120_5,tumour,stc15,120,7th,5
