code,cell,treat,conc_nM,rep
AD1,A549,DMSO,0,1
AD2,A549,DMSO,0,2
AD3,A549,DMSO,0,3
AT1,A549,STM3675,1000,1
AT2,A549,STM3675,1000,2
AT3,A549,STM3675,1000,3
CD1,CAOV3,DMSO,0,1
CD2,CAOV3,DMSO,0,2
CD3,CAOV3,DMSO,0,3
CT1,CAOV3,STM3675,1000,1
CT2,CAOV3,STM3675,1000,2
CT3,CAOV3,STM3675,1000,3
ED1,EFO21,DMSO,0,1
ED2,EFO21,DMSO,0,2
ED3,EFO21,DMSO,0,3
ET1,EFO21,STM3675,1000,1
ET2,EFO21,STM3675,1000,2
ET3,EFO21,STM3675,1000,3
OD1,OE21,DMSO,0,1
OD2,OE21,DMSO,0,2
OD3,OE21,DMSO,0,3
OT1,OE21,STM3675,1000,1
OT2,OE21,STM3675,1000,2
OT3,OE21,STM3675,1000,3
SD1,SKOV3,DMSO,0,1
SD2,SKOV3,DMSO,0,2
SD3,SKOV3,DMSO,0,3
ST1,SKOV3,STM3675,1000,1
ST2,SKOV3,STM3675,1000,2
ST3,SKOV3,STM3675,1000,3
VD1,COV644,DMSO,0,1
VD2,COV644,DMSO,0,2
VD3,COV644,DMSO,0,3
VT1,COV644,STM3675,1000,1
VT2,COV644,STM3675,1000,2
VT3,COV644,STM3675,1000,3
